step	loss
0	0.6464173197746277
1	0.49633488059043884
2	0.4236738681793213
3	0.3823408782482147
4	0.3611477017402649
5	0.3493359386920929
6	0.3471677005290985
7	0.3379593789577484
8	0.3302982449531555
9	0.3228388726711273
10	0.3175739645957947
11	0.30765703320503235
12	0.29288744926452637
13	0.3013041019439697
14	0.30801182985305786
15	0.3030843138694763
16	0.30019986629486084
17	0.30119451880455017
18	0.294852077960968
19	0.3015579581260681
20	0.2982766032218933
21	0.28840935230255127
22	0.3008068799972534
23	0.27407997846603394
24	0.27982065081596375
25	0.2811084985733032
26	0.28053194284439087
27	0.2767508327960968
28	0.2809286415576935
29	0.27527371048927307
30	0.278298944234848
31	0.2696649730205536
32	0.2787961959838867
33	0.27419567108154297
34	0.2677457332611084
35	0.2694567143917084
36	0.2650020718574524
37	0.2672387957572937
38	0.2653571665287018
39	0.2603849172592163
40	0.270877867937088
41	0.27159127593040466
42	0.2710956037044525
43	0.2521461546421051
44	0.2484208047389984
45	0.2618640959262848
46	0.2663634121417999
47	0.2567460536956787
48	0.25570356845855713
49	0.252236008644104
50	0.24784503877162933
51	0.25082576274871826
52	0.25133198499679565
53	0.25959357619285583
54	0.255872905254364
55	0.26158004999160767
56	0.2536158263683319
57	0.25641703605651855
58	0.25856122374534607
59	0.25554215908050537
60	0.2591530978679657
61	0.24335676431655884
62	0.23824474215507507
63	0.24873816967010498
64	0.2533591389656067
65	0.2518385648727417
66	0.24810399115085602
67	0.24247878789901733
68	0.24701890349388123
69	0.2476169466972351
70	0.22865809500217438
71	0.23745758831501007
72	0.24849511682987213
73	0.24020926654338837
74	0.23510877788066864
75	0.24046261608600616
76	0.25272780656814575
77	0.24007904529571533
78	0.24644386768341064
79	0.24026596546173096
80	0.23840634524822235
81	0.2420886605978012
82	0.23491261899471283
