step	accuracy
0	0.6830645203590393
1	0.7975806593894958
2	0.8161290287971497
3	0.8346773982048035
4	0.8556451201438904
5	0.8524193167686462
6	0.8645161390304565
7	0.8629032373428345
8	0.8693548440933228
9	0.8725806474685669
10	0.8798387050628662
11	0.8629032373428345
12	0.8790322542190552
13	0.8903225660324097
14	0.8782258033752441
15	0.8790322542190552
16	0.8798387050628662
17	0.8814516067504883
18	0.8870967626571655
19	0.8935483694076538
20	0.8774193525314331
21	0.8903225660324097
22	0.8951612710952759
23	0.8895161151885986
24	0.8879032135009766
25	0.8959677219390869
26	0.899193525314331
27	0.8911290168762207
28	0.8903225660324097
29	0.8919354677200317
30	0.8895161151885986
31	0.8927419185638428
32	0.8943548202514648
33	0.8903225660324097
34	0.896774172782898
35	0.899193525314331
36	0.8887096643447876
37	0.8911290168762207
38	0.89838707447052
39	0.8943548202514648
40	0.9008064270019531
41	0.9016128778457642
42	0.899193525314331
43	0.8919354677200317
44	0.8927419185638428
45	0.8887096643447876
46	0.8927419185638428
47	0.8999999761581421
48	0.8919354677200317
49	0.896774172782898
50	0.897580623626709
51	0.8999999761581421
52	0.9048386812210083
53	0.8927419185638428
54	0.896774172782898
55	0.8943548202514648
56	0.8943548202514648
57	0.9008064270019531
58	0.9024193286895752
59	0.8999999761581421
60	0.896774172782898
61	0.9048386812210083
62	0.9032257795333862
63	0.9008064270019531
64	0.9016128778457642
