step	loss_curve
0	0.30374985976031676
0	0.23192252712082545
0	0.2185127424015429
0	0.19832788914969207
0	0.201577633301393
0	0.17545690575632186
0	0.17273935925725217
0	0.18702110519568363
0	0.16776043129307044
0	0.1621059773623516
0	0.15568954254862438
0	0.1510805923696964
0	0.16720784607322295
0	0.14803534488534628
0	0.1454139437366169
0	0.1453646436758888
0	0.13467061968536453
0	0.14753847183524937
0	0.14356640310832747
0	0.144499338960375
0	0.1357684583457078
0	0.12517434589525042
0	0.1362790129501227
0	0.12169615242874367
0	0.13200936522180767
0	0.12456666252087004
0	0.13512145254580216
0	0.12543384595778712
0	0.1206095655311748
0	0.1209640044434477
0	0.12003457356954363
0	0.11647603465927812
0	0.10962208188856894
0	0.1189242203885475
0	0.12715006212127053
0	0.12117457561561507
0	0.10293716802065306
0	0.10496504319087589
0	0.10379737153597178
0	0.13109513017319846
0	0.09871599029897905
0	0.1031444267611826
0	0.10434820589843195
0	0.10679685706421274
0	0.0981299409334309
0	0.09682744909897399
0	0.11295479297118811
0	0.09954524711517004
0	0.09374691012640851
0	0.08969755462497436
