step	accuracy
0	0.6048387289047241
1	0.7806451320648193
2	0.8516128659248352
3	0.8427419066429138
4	0.8596774339675903
5	0.8669354915618896
6	0.8661290407180786
7	0.8685483932495117
8	0.874193549156189
9	0.8919354677200317
10	0.8870967626571655
11	0.8822580575942993
12	0.8903225660324097
13	0.8879032135009766
14	0.8911290168762207
15	0.89838707447052
16	0.899193525314331
17	0.899193525314331
18	0.8943548202514648
19	0.8951612710952759
20	0.8951612710952759
21	0.896774172782898
22	0.9104838371276855
23	0.8943548202514648
24	0.8935483694076538
25	0.9040322303771973
26	0.9008064270019531
27	0.9016128778457642
28	0.9024193286895752
29	0.9016128778457642
30	0.8951612710952759
31	0.9072580337524414
32	0.9048386812210083
33	0.9008064270019531
34	0.9008064270019531
35	0.9129031896591187
36	0.9064515829086304
37	0.9024193286895752
38	0.9080644845962524
39	0.9016128778457642
40	0.9064515829086304
41	0.9032257795333862
