step	loss
0	0.6543155312538147
1	0.5405107736587524
2	0.40586772561073303
3	0.37098419666290283
4	0.3459525406360626
5	0.3487740755081177
6	0.33348512649536133
7	0.32484379410743713
8	0.32183390855789185
9	0.30652666091918945
10	0.30316129326820374
11	0.2946970462799072
12	0.2988673746585846
13	0.30166301131248474
14	0.288896381855011
15	0.28298264741897583
16	0.27329179644584656
17	0.2717554271221161
18	0.2826177179813385
19	0.27598053216934204
20	0.2712135910987854
21	0.2819720208644867
22	0.2508663237094879
23	0.2823435962200165
24	0.2702919840812683
25	0.2615923285484314
26	0.2685164511203766
27	0.2544831931591034
28	0.2584972083568573
29	0.25609952211380005
30	0.27253368496894836
31	0.24768947064876556
32	0.25455066561698914
33	0.26336193084716797
34	0.255150705575943
35	0.24140530824661255
36	0.238963320851326
37	0.25030818581581116
38	0.24807338416576385
39	0.2648259997367859
40	0.25892847776412964
41	0.24829959869384766
