Data Mode,Feature Mode,Model,Accuracy,F1 Score,ROC AUC
real,keypoints_only,xgb,0.9130580097585371,0.9085782238527786,0.9693880652687141
real,all_features,xgb,0.9175438828499546,0.9121445598408243,0.9744062111267393
synthetic,keypoints_only,xgb,0.9251552533665757,0.9238359466979265,0.9741566103874841
synthetic,all_features,xgb,0.9265196807718648,0.9249160825830384,0.976417370245332
all,keypoints_only,xgb,0.915036513493192,0.911847031987325,0.9706200546501711
all,all_features,xgb,0.9156430483982717,0.9115094415843871,0.9729522895585662
