Model,View,Model_View,Accuracy,Precision,Recall,F1,ROC_AUC,Duration,Energy_Consumed,CV_Accuracy_Mean,CV_F1_Mean,CV_ROC_AUC_Mean
adaboost,combined,adaboost_combined,0.9291485394655066,0.9455958549222798,0.9102244389027432,0.9275730622617535,0.9760604684076674,1.62232247799966,6.9271590892803015e-06,0.9277442804622013,0.9256561265648244,0.9773749455748739
nn,combined,nn_combined,0.9459291485394655,0.9648894668400521,0.9251870324189526,0.9446212603437301,0.9827584075746199,1.033474453000963,3.5239643827429786e-06,0.9439127389775794,0.942789520731931,0.9825520431715937
xgb,combined,xgb_combined,0.9415786202610317,0.950381679389313,0.9314214463840399,0.9408060453400504,0.9855565547098795,1.083743102999506,3.5770054617103977e-06,0.9426678756620873,0.941565684946743,0.985935228273841
